Tank,Fish,Temperature,Lactate
1,1,24,3.96111111111111
1,2,24,4.55277777777778
1,3,24,4.93904320987654
1,4,24,4.65833333333333
1,5,24,6.74382716049383
2,1,33,7.78225308641975
2,2,33,7.07021604938272
2,3,33,5.29938271604938
2,4,33,5.31697530864198
2,5,33,8.09259259259259
3,1,33,8.85378086419753
3,2,33,10.8472222222222
3,3,33,6.41844135802469
3,4,33,9.88888888888889
3,5,33,10.524537037037
4,1,24,6.44243827160494
4,3,24,4.77770061728395
4,4,24,6.28441358024691
4,5,24,5.77345679012346
