Date,Run Number,Total length (mm),Weight (g),Condition Factor,Temperature ,Salinity (ppt),Time (s),Time (hr),Loop,Speed (Hz),Computer MO2,MO2 (mmol/kg/hr),CH 1 R^2,Slope (% air sat/hr),Phase Time,Comments
3/3/2018,1,152,34.2,0.973857340720222,22,34,572,0.158888888888889,2,150,408.9,25.5572083953148,0.847,-39.26,M30,
3/3/2018,1,152,34.2,0.973857340720222,22,34,602,0.167222222222222,3,150,279.9,17.4944060402265,0.824,-26.87,M30,
3/3/2018,1,152,34.2,0.973857340720222,22,34,647,0.179722222222222,4,150,466.3,29.1448429316099,0.921,-44.769,M45,
3/3/2018,1,152,34.2,0.973857340720222,22,34,692,0.192222222222222,5,150,439.3,27.4572796479868,0.96,-42.178,M45,
3/3/2018,1,152,34.2,0.973857340720222,22,34,737,0.204722222222222,6,150,409.9,25.6197107391527,0.907,-39.346,M45,
3/3/2018,2,186,63.3,0.98370499666193,22,34,383,0.106388888888889,2,150,531.5,33.2199957498406,0.977,-94.997,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,413,0.114722222222222,3,150,435.7,27.2322712101704,0.963,-77.865,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,443,0.123055555555556,4,150,431.4,26.9635111316674,0.975,-77.112,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,473,0.131388888888889,5,150,464.2,29.0135880095504,0.97,-82.971,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,503,0.139722222222222,6,150,490.7,30.6699001212545,0.973,-87.698,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,533,0.148055555555556,7,150,495.5,30.9699113716764,0.969,-88.565,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,563,0.156388888888889,8,150,396.6,24.7884295661087,0.929,-70.878,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,593,0.164722222222222,9,150,534.6,33.4137530157381,0.974,-95.552,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,623,0.173055555555556,10,150,439.6,27.4760303511382,0.974,-78.571,M30,
3/3/2018,2,186,63.3,0.98370499666193,22,34,683,0.189722222222222,11,150,479.1,29.944872932735,0.992,-85.639,F120/W60/M60,
3/3/2018,2,186,63.3,0.98370499666193,22,34,923,0.256388888888889,12,150,324.1,20.2570096378614,0.967,-57.926,F120/W60/M60,
3/3/2018,3,148,35.5,1.0950733421515,22,34,306,0.085,2,150,242.8,15.1755690838406,0.85,-24.2,M45,
3/3/2018,3,148,35.5,1.0950733421515,22,34,351,0.0975,3,150,415.7,25.9822243334125,0.97,-41.44,M45,
3/3/2018,3,148,35.5,1.0950733421515,22,34,381,0.105833333333333,4,150,422.5,26.4072402715102,0.951,-42.117,M30,
3/3/2018,3,148,35.5,1.0950733421515,22,34,411,0.114166666666667,5,150,374.5,23.4071277672913,0.886,-37.327,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,829,0.230277777777778,2,150,337.4,21.0882908109054,0.697,-37.734,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,859,0.238611111111111,3,150,424.7,26.5447454279535,0.767,-47.501,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,893,0.248055555555556,4,150,518.5,32.407465279948,0.948,-57.991,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,923,0.256388888888889,5,150,419.7,26.2322337087641,0.962,-46.945,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,953,0.264722222222222,6,150,496.9,31.0574146530495,0.953,-55.58,M30,
3/3/2018,4,148,39.8,1.22771602866563,22,34,983,0.273055555555556,7,150,406.9,25.432203707639,0.907,-45.511,M30,
