Date,Run Number,Total length (mm),Weight (g),Condition Factor,Temperature ,Salinity (ppt),Time (s),Time (hr),Loop,Speed (Hz),Computer MO2,MO2 (mmol/kg/hr),CH 1 R^2,Slope (% air sat/hr),Phase Time,Comments
2/11/18,6,178,59.2,1.04969154672049,20,34,329,0.09,1,150,197.9,12.37,0.908,-31.81,F180/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,659,0.18,2,150,261.1,16.32,0.967,-41.973,F180/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,989,0.27,3,150,168.1,10.51,0.976,-27.027,F180/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,1379,0.38,4,150,184.3,11.52,0.953,-29.626,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,1769,0.49,5,150,196.8,12.30,0.973,-31.634,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,2159,0.60,6,150,223,13.94,0.99,-35.843,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,2549,0.71,7,150,223.5,13.97,0.986,-35.931,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,2939,0.82,8,150,224.4,14.03,0.989,-36.078,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,3329,0.92,9,150,227.2,14.20,0.986,-36.517,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,3719,1.03,10,150,250.8,15.68,0.987,-40.312,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,4109,1.14,11,150,216.9,13.56,0.988,-34.868,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,4499,1.25,12,150,199,12.44,0.982,-31.992,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,4889,1.36,13,150,204,12.75,0.983,-32.798,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,5279,1.47,14,150,187.3,11.71,0.983,-30.106,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,5669,1.57,15,150,169.5,10.59,0.984,-27.252,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,6059,1.68,16,150,208.1,13.01,0.984,-33.458,F240/W30/M120,
2/11/18,6,178,59.2,1.04969154672049,20,34,6449,1.79,17,150,186,11.63,0.982,-29.905,F240/W30/M120,
