Date,Run Number,Tank Number,Length (mm),Mass (g),Temperature ,Time chased (s)
3/13/2018,S1_1,12,167,44.9,33,176
3/15/2018,S1_3,5,164,44.1,24,135
3/16/2018,S1_4,4,155,42.1,27,130
3/17/2018,S1_5,2,153,34.8,30,105
3/18/2018,S2_1,11,155,39.2,27,75
3/19/2018,S2_2,7,153,36.4,24,100
3/20/2018,S2_3,1,176,63.6,33,125
3/21/2018,S2_4,8,158,42.1,30,150
3/22/2018,S3_1,9,164,47.8,24,90
3/23/2018,S3_2,11,165,48.3,27,115
3/24/2018,S3_3,2,166,45.8,30,113
3/25/2018,S3_4,12,164,42.6,33,125
3/26/2018,S4_1,5,166,49.8,24,135
3/27/2018,S4_2,4,157,39.2,27,
3/28/2018,S4_3,3,166,47.2,33,111
3/29/2018,S4_4,10,175,63.3,30,165
3/30/2018,S5_1,1,165,49.2,33,200
3/31/2018,S5_2,9,166,50,24,100
4/1/2018,S5_3,10,183,63,30,150
4/2/2018,S5_4,6,156,38,27,80
4/3/2018,S6_1,5,159,42,24,110
4/4/2018,S6_2,12,163,57,33,155
4/5/2018,S6_3,4,167,54,27,110
4/6/2018,S6_4,10,169,59,30,188
4/7/2018,S7_1,3,165,43,33,179
4/8/2018,S7_2,10,182,59,30,210
4/9/2018,S7_3,7,174,56,24,90
4/10/2018,S7_4,4,175,53,27,147
4/11/2018,S8_1,2,185,53,30,121
4/12/2018,S8_2,3,156,39,33,119
4/13/2018,S8_3,5,171,59,24,116
4/14/2018,S8_4,4,165,41,27,126
4/15/2018,S9_1,7,170,46,24,144
4/16/2018,S9_2,4,156,40,27,154
4/17/2018,S9_3,8,183,61,30,139
4/18/2018,S9_4,3,171,45,33,90
4/19/2018,S10_1,5,166,48,24,90
4/20/2018,S10_2,4,155,34,27,130
4/21/2018,S10_3,12,166,41,33,145
4/22/2018,S10_4,2,175,49,30,150
