Date,Run Number,Total length (mm),Weight (g),Condition Factor,Temperature ,Salinity (ppt),Time (s),Time (hr),Loop,Speed (Hz),Computer MO2,MO2 (mmol/kg/hr),CH 1 R^2,Slope (% air sat/hr),Phase Time,Comments
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,357,0.10,2,150,804.6,50.29,0.931,-120.654,M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,387,0.11,3,150,799.4,49.96,0.943,-119.879,M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,417,0.12,4,150,918.4,57.40,0.979,-137.724,M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,447,0.12,5,150,690.8,43.18,0.944,-103.593,M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,477,0.13,6,150,1013.1,63.32,0.986,-151.922,M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,805,0.22,7,150,672,42.00,0.986,-100.782,F60/W60/M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,955,0.27,8,150,638.2,39.89,0.936,-95.709,F60/W60/M30,
3/13/2018,S1_1,167,44.9,0.964044158804912,33.4,29.36,1105,0.31,9,150,659.3,41.21,0.958,-98.866,F60/W60/M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,563,0.16,2,150,466.3,29.14,0.912,-58.294,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,593,0.16,3,150,645.9,40.37,0.946,-80.746,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,623,0.17,4,150,616,38.50,0.951,-77.018,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,653,0.18,5,150,575.9,36.00,0.913,-71.997,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,683,0.19,6,150,611.4,38.21,0.974,-76.432,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,713,0.20,7,150,546.5,34.16,0.952,-68.322,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,743,0.21,8,150,444.9,27.81,0.788,-55.627,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,773,0.21,9,150,531.9,33.24,0.924,-66.501,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,803,0.22,10,150,571.7,35.73,0.951,-71.479,M30,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,848,0.24,11,150,446.3,27.89,0.954,-55.796,F60/W45/M45,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,998,0.28,12,150,514,32.13,0.966,-64.267,F60/W45/M45,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,1478,0.41,13,150,489,30.56,0.992,-61.134,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,1958,0.54,14,150,429.4,26.84,0.986,-53.68,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,2438,0.68,15,150,415.3,25.96,0.995,-51.919,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,2918,0.81,16,150,419.3,26.21,0.995,-52.419,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,3398,0.94,17,150,428.5,26.78,0.995,-53.57,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,3878,1.08,18,150,392,24.50,0.992,-49.002,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,4358,1.21,19,150,423.8,26.49,0.993,-52.984,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,4838,1.34,20,150,409.5,25.59,0.991,-51.199,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,5318,1.48,21,150,423.2,26.45,0.992,-52.903,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,5798,1.61,22,150,328,20.50,0.987,-41.004,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,6278,1.74,23,150,355,22.19,0.988,-44.383,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,6758,1.88,24,150,440.4,27.53,0.991,-55.063,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,7238,2.01,25,150,409.9,25.62,0.989,-51.243,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,7718,2.14,26,150,314.3,19.64,0.989,-39.291,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,8198,2.28,27,150,365,22.81,0.988,-45.628,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,8678,2.41,28,150,403.7,25.23,0.991,-50.467,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,9158,2.54,29,150,285.4,17.84,0.977,-35.683,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,9638,2.68,30,150,296.7,18.54,0.984,-37.094,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,10118,2.81,31,150,412.4,25.78,0.992,-51.559,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,10598,2.94,32,150,305.5,19.09,0.986,-38.196,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,11078,3.08,33,150,234.5,14.66,0.972,-29.314,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,11558,3.21,34,150,241.6,15.10,0.97,-30.209,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,12038,3.34,35,150,282,17.63,0.973,-35.255,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,12518,3.48,36,150,289.9,18.12,0.985,-36.244,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,12998,3.61,37,150,367.4,22.96,0.99,-45.936,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,13478,3.74,38,150,182.1,11.38,0.963,-22.768,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,13958,3.88,39,150,171.7,10.73,0.957,-21.47,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,14438,4.01,40,150,277.3,17.33,0.972,-34.666,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,14918,4.14,41,150,295.1,18.44,0.979,-36.896,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,15398,4.28,42,150,279.2,17.45,0.975,-34.904,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,15878,4.41,43,150,301.4,18.84,0.976,-37.684,F300/W60/M120,
3/15/2018,S1_3,164,44.1,0.999785986854514,23.4,28.87,16358,4.54,44,150,282.5,17.66,0.989,-35.315,F300/W60/M120,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,719,0.20,2,150,922.3,57.65,0.956,-117.635,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,749,0.21,3,150,838.3,52.40,0.976,-106.92,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,779,0.22,4,150,747.7,46.73,0.957,-95.364,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,809,0.22,5,150,756.9,47.31,0.984,-96.544,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,839,0.23,6,150,812.7,50.80,0.987,-103.652,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,869,0.24,7,150,730.3,45.65,0.977,-93.149,M30,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,929,0.26,8,150,802.6,50.16,0.994,-102.362,F120/W60/M60,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,1169,0.32,9,150,661.9,41.37,0.991,-84.428,F120/W60/M60,
3/16/2018,S1_4,155,42.1,1.13054278137693,27.3,30.91,1409,0.39,10,150,595.8,37.24,0.975,-75.997,F120/W60/M60,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,251,0.07,2,150,666.1,41.63,0.974,-73.601,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,281,0.08,3,150,781.5,48.85,0.976,-86.352,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,311,0.09,4,150,759.5,47.47,0.915,-83.914,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,341,0.09,5,150,729.2,45.58,0.843,-80.567,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,371,0.10,6,150,712.1,44.51,0.939,-78.675,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,401,0.11,7,150,555.7,34.73,0.791,-61.403,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,431,0.12,8,150,461.1,28.82,0.868,-50.944,M30,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,491,0.14,9,150,773.8,48.36,0.989,-85.498,F300/W60/M60,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,911,0.25,10,150,607.1,37.95,0.977,-67.08,F300/W60/M60,
3/17/2018,S1_5,153,34.8,0.971639029399619,29.8,30.00,1331,0.37,11,150,480.6,30.04,0.964,-53.097,F300/W60/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,365,0.10,2,150,633.1,39.57,0.872,-75.184,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,395,0.11,3,150,550.3,34.40,0.957,-65.345,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,425,0.12,4,150,508.4,31.78,0.894,-60.369,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,455,0.13,5,150,496.6,31.04,0.885,-58.968,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,485,0.13,6,150,485.8,30.36,0.871,-57.695,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,515,0.14,7,150,647.4,40.46,0.978,-76.874,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,545,0.15,8,150,579,36.19,0.947,-68.758,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,575,0.16,9,150,517.6,32.35,0.825,-61.464,M30,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,635,0.18,10,150,628,39.25,0.977,-74.572,F60/W45/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,800,0.22,11,150,720,45.00,0.99,-85.498,F60/W45/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,965,0.27,12,150,691.1,43.20,0.964,-82.067,F60/W45/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,1130,0.31,13,150,572.7,35.80,0.973,-68.004,F60/W45/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,1295,0.36,14,150,550.3,34.40,0.95,-65.349,F60/W45/M60,
3/18/2018,S2_1,155,39.2,1.05266691282602,27.7,31.05,1460,0.41,15,150,599.6,37.48,0.974,-71.207,F60/W45/M60,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,328,0.09,2,150,649.7,40.61,0.835,-67.436,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,358,0.10,3,150,702.5,43.91,0.963,-72.913,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,388,0.11,4,150,670.1,41.88,0.977,-69.552,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,418,0.12,5,150,561.7,35.11,0.932,-58.298,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,448,0.12,6,150,665.8,41.61,0.94,-69.098,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,478,0.13,7,150,661,41.31,0.925,-68.606,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,508,0.14,8,150,570.2,35.64,0.949,-59.176,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,538,0.15,9,150,430.6,26.91,0.674,-44.688,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,568,0.16,10,150,733,45.81,0.975,-76.074,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,598,0.17,11,150,566.3,35.40,0.923,-58.773,M30,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,643,0.18,12,150,540.2,33.76,0.97,-56.067,F60/W45/M45,
3/19/2018,S2_2,153,36.4,1.01631208822259,23.8,30.14,793,0.22,13,150,452.8,28.30,0.957,-46.997,F60/W45/M45,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,391,0.11,2,150,525.3,32.83,0.94,-112.5,M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,421,0.12,3,150,571.1,35.70,0.952,-122.292,M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,451,0.13,4,150,726.7,45.42,0.864,-155.611,M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,481,0.13,5,150,693.1,43.32,0.952,-148.417,M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,511,0.14,6,150,675.7,42.23,0.952,-144.7,M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,541,0.15,7,150,560,35.00,0.892,-119.915,F60/W45/M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,676,0.19,8,150,442.3,27.64,0.929,-94.723,F60/W45/M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,811,0.23,9,150,492.6,30.79,0.925,-105.491,F60/W45/M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,946,0.26,10,150,613.2,38.33,0.876,-131.309,F60/W45/M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,1081,0.30,11,150,522.2,32.64,0.926,-111.832,F60/W45/M30,
3/20/2018,S2_3,176,63.6,1.16659231780616,32.2,30.21,1216,0.34,12,150,523.7,32.73,0.851,-112.142,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,407,0.11,2,150,882.9,55.18,0.952,-116.921,M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,437,0.12,3,150,958.1,59.88,0.959,-126.883,M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,467,0.13,4,150,1116.3,69.77,0.954,-147.829,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,602,0.17,5,150,890.4,55.65,0.921,-117.915,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,737,0.20,6,150,833,52.06,0.958,-110.31,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,872,0.24,7,150,580.8,36.30,0.782,-76.908,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,1007,0.28,8,150,555.7,34.73,0.713,-73.592,F60/W45/M30,
3/21/2018,S2_4,158,42.1,1.0673597828975,29.7,28.08,1142,0.32,9,150,697.6,43.60,0.867,-92.387,F60/W45/M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,300,0.08,2,150,704.6,44.04,0.962,-95.794,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,330,0.09,3,150,498.4,31.15,0.772,-67.759,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,360,0.10,4,150,604.9,37.81,0.971,-82.233,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,390,0.11,5,150,718.6,44.91,0.974,-97.698,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,420,0.12,6,150,315,19.69,0.877,-42.828,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,450,0.13,7,150,464,29.00,0.9,-63.077,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,480,0.13,8,150,430.9,26.93,0.944,-58.574,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,510,0.14,9,150,431.5,26.97,0.903,-58.661,M30,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,555,0.15,10,150,528.2,33.01,0.902,-71.808,F60/W45/M45,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,705,0.20,11,150,475.6,29.73,0.886,-64.662,F60/W45/M45,
3/22/2018,S3_1,164,47.8,1.08366825786045,23.1,29.3,855,0.24,12,150,396.6,24.79,0.911,-53.917,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,385,0.11,2,150,1040.6,65.04,0.945,-151.053,M30,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,415,0.12,3,150,691.2,43.20,0.943,-100.338,M30,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,445,0.12,4,150,433.1,27.07,0.786,-62.875,M30,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,475,0.13,5,150,338.5,21.16,0.431,-49.134,M30,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,520,0.14,6,150,731.2,45.70,0.923,-106.142,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,670,0.19,7,150,652,40.75,0.859,-94.645,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,821,0.23,8,150,628.9,39.31,0.883,-91.299,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,971,0.27,9,150,535.2,33.45,0.912,-77.69,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,1121,0.31,10,150,385.8,24.11,0.715,-56.002,F60/W45/M45,
3/23/2018,S3_2,165,48.3,1.07521495951248,27.5,29.29,1271,0.35,11,150,562.9,35.18,0.929,-81.714,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,334,0.09,2,150,756.2,47.26,0.932,-110.299,M30,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,364,0.10,3,150,477.1,29.82,0.694,-69.597,M30,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,394,0.11,4,150,683.7,42.73,0.932,-99.723,M30,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,439,0.12,5,150,726,45.38,0.958,-105.9,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,589,0.16,6,150,464.6,29.04,0.916,-67.77,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,739,0.21,7,150,483.7,30.23,0.844,-70.559,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,889,0.25,8,150,581,36.31,0.89,-84.742,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,1039,0.29,9,150,401.1,25.07,0.943,-58.501,F60/W45/M45,
3/24/2018,S3_3,166,45.8,1.00124696783942,29.5,30.15,1189,0.33,10,150,476.7,29.79,0.815,-69.528,F60/W45/M45,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,424,0.12,2,150,753.5,47.10,0.95,-107.76,M30,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,454,0.13,3,150,947.4,59.21,0.979,-135.484,M30,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,484,0.13,4,150,920,57.50,0.973,-131.57,M30,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,514,0.14,5,150,892.4,55.78,0.95,-127.62,M30,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,559,0.16,6,150,858.1,53.63,0.979,-122.723,F60/W45/M45,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,709,0.20,7,150,728,45.50,0.975,-104.108,F60/W45/M45,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,859,0.24,8,150,539.5,33.72,0.954,-77.16,F60/W45/M45,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,1009,0.28,9,150,762.1,47.63,0.979,-108.99,F60/W45/M45,
3/25/2018,S3_4,164,42.6,0.965779660771028,32.3,31.34,1159,0.32,10,150,552.6,34.54,0.958,-79.023,F60/W45/M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,431,0.12,2,150,467.9,29.24,0.962,-66.626,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,461,0.13,3,150,492.3,30.77,0.901,-70.088,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,491,0.14,4,150,569.2,35.58,0.943,-81.038,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,521,0.14,5,150,374.4,23.40,0.965,-53.309,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,551,0.15,6,150,528.3,33.02,0.892,-75.216,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,581,0.16,7,150,605.4,37.84,0.813,-86.194,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,611,0.17,8,150,488.2,30.51,0.792,-69.517,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,641,0.18,9,150,547,34.19,0.936,-77.889,M30,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,686,0.19,10,150,477.9,29.87,0.939,-68.037,M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,731,0.20,11,150,535.7,33.48,0.948,-76.28,M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,776,0.22,12,150,533.8,33.36,0.955,-76.005,M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,821,0.23,13,150,478.5,29.91,0.946,-68.126,F60/W45/M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,971,0.27,14,150,487.7,30.48,0.951,-69.44,F60/W45/M45,
3/26/2018,S4_1,166,49.8,1.08869211786907,23.7,30.14,1121,0.31,15,150,512,32.00,0.963,-72.9,F60/W45/M45,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,339,0.09,4,150,898.2,56.14,0.945,-106.968,M30,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,369,0.10,5,150,870.6,54.41,0.937,-103.679,M30,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,399,0.11,6,150,1163,72.69,0.98,-138.504,M30,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,429,0.12,7,150,1032.8,64.55,0.955,-122.992,M30,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,474,0.13,8,150,930.3,58.15,0.963,-110.786,F60/W60/M45,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,639,0.18,9,150,750,46.88,0.971,-89.313,F60/W60/M45,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,804,0.22,10,150,657.8,41.11,0.928,-78.335,F60/W60/M45,
3/27/2018,S4_2,157,39.2,1.01294790321076,27.5,31.50,969,0.27,11,150,598.6,37.41,0.927,-71.294,F60/W60/M45,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,276,0.08,2,150,570.7,35.67,0.775,-90.144,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,306,0.09,3,150,624.9,39.06,0.865,-98.71,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,336,0.09,4,150,582.8,36.43,0.862,-92.062,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,366,0.10,5,150,806.9,50.43,0.941,-127.449,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,396,0.11,6,150,632.6,39.54,0.947,-99.925,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,426,0.12,7,150,655.8,40.99,0.942,-103.579,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,456,0.13,8,150,656.4,41.03,0.894,-103.679,M30,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,501,0.14,9,150,617.6,38.60,0.905,-97.55,F60/W45/M45,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,651,0.18,10,150,542.4,33.90,0.952,-85.673,F60/W45/M45,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,801,0.22,11,150,1041,65.06,0.868,-164.423,F60/W45/M45,
3/28/2018,S4_3,166,47.2,1.0318527703498,32.4,29.62,951,0.26,12,150,404.7,25.29,0.942,-63.925,F60/W45/M45,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,835,0.23,2,150,507.8,31.74,0.972,-101.824,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,865,0.24,3,150,609.7,38.11,0.935,-122.27,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,895,0.25,4,150,686.1,42.88,0.972,-137.584,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,1115,0.31,6,150,518,32.38,0.945,-103.885,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,1145,0.32,7,150,802.5,50.16,0.974,-160.935,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,1175,0.33,8,150,539,33.69,0.869,-108.094,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,1205,0.33,9,150,763.2,47.70,0.978,-153.055,M30,
3/29/2018,S4_4,175,63.3,1.18110787172012,29.5,28.6,1235,0.34,10,150,524.6,32.79,0.963,-105.206,F60/W45/M30,
