Date,Run Number,Tank Number,Total length (mm),Weight (g),Condition Factor,Temperature ,Salinity (ppt),Time (s),Time (hr),Loop,Speed (Hz),Computer MO2,MO2 (mmol/kg/hr),CH 1 R^2,Slope (% air sat/hr),Phase Time,Comments
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,549,0.15,2,150,598.7,37.42,0.993,-89.785,F240/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,1029,0.29,3,150,525.7,32.86,0.991,-78.841,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,1509,0.42,4,150,511.8,31.99,0.995,-76.759,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,1989,0.55,5,150,588.2,36.76,0.993,-88.204,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,2469,0.69,6,150,532.6,33.29,0.995,-79.869,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,2949,0.82,7,150,543.7,33.98,0.994,-81.538,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,3429,0.95,8,150,523.7,32.73,0.995,-78.54,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,3909,1.09,9,150,512.2,32.01,0.992,-76.816,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,4389,1.22,10,150,480.7,30.04,0.993,-72.087,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,4869,1.35,11,150,440.4,27.53,0.994,-66.042,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,5349,1.49,12,150,440.4,27.53,0.993,-66.05,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,5829,1.62,13,150,464.1,29.01,0.99,-69.603,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,6309,1.75,14,150,440,27.50,0.994,-65.984,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,6789,1.89,15,150,508,31.75,0.984,-76.177,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,7269,2.02,16,150,443,27.69,0.989,-66.431,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,7749,2.15,17,150,425.6,26.60,0.989,-63.828,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,8229,2.29,18,150,443.7,27.73,0.99,-66.532,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,8709,2.42,19,150,584.2,36.51,0.994,-87.614,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,9189,2.55,20,150,413.7,25.86,0.991,-62.034,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,9669,2.69,21,150,408.8,25.55,0.988,-61.299,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,10149,2.82,22,150,394,24.63,0.99,-59.081,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,10629,2.95,23,150,382.7,23.92,0.99,-57.398,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,11109,3.09,24,150,399.3,24.96,0.994,-59.885,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,11589,3.22,25,150,381.7,23.86,0.994,-57.237,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,12069,3.35,26,150,354.3,22.14,0.988,-53.138,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,12549,3.49,27,150,391.8,24.49,0.994,-58.755,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,13029,3.62,28,150,344.6,21.54,0.992,-51.682,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,13509,3.75,29,150,350.8,21.93,0.98,-52.605,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,13989,3.89,30,150,351.7,21.98,0.991,-52.736,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,14469,4.02,31,150,359.3,22.46,0.995,-53.89,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,14949,4.15,32,150,327.8,20.49,0.98,-49.164,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,15429,4.29,33,150,356.1,22.26,0.99,-53.408,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,15909,4.42,34,150,345.6,21.60,0.992,-51.827,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,16389,4.55,35,150,309.3,19.33,0.98,-46.377,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,16869,4.69,36,150,324.2,20.26,0.983,-48.623,F300/W60/M120,
3/12/2018,S1_1,12,167,44.9,0.964044158804912,33.4,29.36,17349,4.82,37,150,343.7,21.48,0.989,-51.537,F300/W60/M120,
