Fish,Temperature ©,Mass (g),St Length (mm),T Length (mm),Condition Factor,Time exercised (sec),Lactate
T5_1,24,46,142,175,0.858309037900875,79,86.0455670816044
T5_2,24,53,141,174,1.00606982807975,45,79.8422614107884
T5_3,24,46,136,169,0.953010570751816,54,100.786085753804
T5_4,24,63,158,185,0.995005231674333,64,94.509550484094
T7_1,24,37,125,155,0.993588667718438,74,84.0974481327801
T7_2,24,37,126,156,0.974603415431818,61,70.6128630705394
T9_1,24,54,140,173,1.04293069706204,68,88.7382295988935
T9_2,24,45,139,171,0.899962021602688,53,79.6023928077455
T9_3,24,35,125,150,1.03703703703704,45,68.8882503457815
T9_4,24,43,133,162,1.01140107744792,74,79.9102904564315
T6_1,27,46,134,165,1.02401424715474,75,85.0213416320885
T6_2,27,35,139,151,1.01656979724661,49,23.5297302904564
T6_3,27,43,134,161,1.0303643584029,54,92.7954910096819
T6_4,27,37,130,160,0.9033203125,67,43.3255463347165
T6_5,27,51,130,165,1.13532014358461,75,61.7440663900415
T11_1,27,35,134,163,0.808174663631932,42,30.3829598893499
T11_2,27,39,126,151,1.13274920264622,42,47.4649308437068
T11_3,27,29,115,142,1.01282162325271,66,95.0256639004149
T11_4,27,38,126,156,1.00094404828133,52,35.3140594744122
T11_5,27,39,125,154,1.06783080303067,71,82.4209612724758
T2_1,30,57,144,176,1.04553085086401,47,87.5509128630706
T2_2,30,70,156,195,0.944048281326388,65,107.931473029046
T2_3,30,80,160,190,1.16635077999708,44,87.7596403872753
T8_1,30,95,160,196,1.26169793198412,53,88.0449723374827
T8_2,30,40,124,156,1.05362531398034,78,98.7290456431535
T8_3,30,52,141,172,1.02192259801024,105,101.442434301521
T8_4,30,69,144,179,1.20306750830247,80,81.283561549101
T10_1,30,55,143,175,1.02623906705539,60,78.2705186721992
T10_2,30,51,135,166,1.11492566287796,112,88.8898132780083
T10_3,30,62,160,195,0.836157049174801,0,66.6584094052559
T1_1,33,35,125,155,0.93988117216609,80,93.2077731673582
T1_2,33,36,130,156,0.948262782582309,47,74.4047302904564
T1_3,33,50,141,174,0.949122479320519,60,83.2291286307054
T1_4,33,40,131,162,0.94083821157946,57,79.1393153526971
T1_5,33,40,131,163,0.923628187007923,76,72.3703181189488
T3_1,33,37,121,151,1.07465949994641,77,84.6466597510374
T3_2,33,40,125,160,0.9765625,76,103.220165975104
T3_3,33,37,125,150,1.0962962962963,83,95.8298340248962
T12_1,33,53,155,192,0.748810944733796,88,91.5821715076072
T12_2,33,47,135,170,0.95664563403216,60,109.865940525588
T9_5,24,34,120,145,1.11525687810078,0,94.4082918395574
T7_3,24,36,122,153,1.00514382351685,0,61.5001452282158
T7_4,24,33,117,147,1.03887174750506,0,84.2475449515906
T8_5,30,67,165,195,0.903589069269543,0,75.134163208852
T8_6,30,52,145,175,0.970262390670554,0,65.5196887966805
