Number,Date_Time,Temp
1,11/27/17 12:00:00 PM,24.062
2,11/27/17 12:30:00 PM,23.773
3,11/27/17 01:00:00 PM,23.773
4,11/27/17 01:30:00 PM,23.773
5,11/27/17 02:00:00 PM,23.869
6,11/27/17 02:30:00 PM,24.158
7,11/27/17 03:00:00 PM,24.255
8,11/27/17 03:30:00 PM,24.158
9,11/27/17 04:00:00 PM,24.062
10,11/27/17 04:30:00 PM,23.966
11,11/27/17 05:00:00 PM,23.966
12,11/27/17 05:30:00 PM,23.966
13,11/27/17 06:00:00 PM,23.966
14,11/27/17 06:30:00 PM,23.966
15,11/27/17 07:00:00 PM,23.966
16,11/27/17 07:30:00 PM,23.966
17,11/27/17 08:00:00 PM,23.966
18,11/27/17 08:30:00 PM,23.869
19,11/27/17 09:00:00 PM,23.869
20,11/27/17 09:30:00 PM,23.869
21,11/27/17 10:00:00 PM,23.869
22,11/27/17 10:30:00 PM,23.869
23,11/27/17 11:00:00 PM,23.869
24,11/27/17 11:30:00 PM,23.869
25,11/28/17 12:00:00 AM,23.869
26,11/28/17 12:30:00 AM,23.869
27,11/28/17 01:00:00 AM,23.869
28,11/28/17 01:30:00 AM,23.869
29,11/28/17 02:00:00 AM,23.869
30,11/28/17 02:30:00 AM,23.869
31,11/28/17 03:00:00 AM,23.966
32,11/28/17 03:30:00 AM,23.966
33,11/28/17 04:00:00 AM,23.966
34,11/28/17 04:30:00 AM,23.966
35,11/28/17 05:00:00 AM,23.966
36,11/28/17 05:30:00 AM,23.966
37,11/28/17 06:00:00 AM,23.966
38,11/28/17 06:30:00 AM,23.966
39,11/28/17 07:00:00 AM,24.062
40,11/28/17 07:30:00 AM,24.062
41,11/28/17 08:00:00 AM,24.062
42,11/28/17 08:30:00 AM,24.062
43,11/28/17 09:00:00 AM,24.062
44,11/28/17 09:30:00 AM,24.062
45,11/28/17 10:00:00 AM,24.158
46,11/28/17 10:30:00 AM,24.158
47,11/28/17 11:00:00 AM,24.158
48,11/28/17 11:30:00 AM,24.158
49,11/28/17 12:00:00 PM,24.158
50,11/28/17 12:30:00 PM,24.158
51,11/28/17 01:00:00 PM,24.158
52,11/28/17 01:30:00 PM,24.158
53,11/28/17 02:00:00 PM,24.158
54,11/28/17 02:30:00 PM,24.255
55,11/28/17 03:00:00 PM,24.351
56,11/28/17 03:30:00 PM,24.062
57,11/28/17 04:00:00 PM,24.062
58,11/28/17 04:30:00 PM,23.966
59,11/28/17 05:00:00 PM,23.869
60,11/28/17 05:30:00 PM,23.869
61,11/28/17 06:00:00 PM,23.869
62,11/28/17 06:30:00 PM,23.869
63,11/28/17 07:00:00 PM,23.966
64,11/28/17 07:30:00 PM,23.966
65,11/28/17 08:00:00 PM,23.869
66,11/28/17 08:30:00 PM,23.869
67,11/28/17 09:00:00 PM,23.869
68,11/28/17 09:30:00 PM,23.869
69,11/28/17 10:00:00 PM,23.869
70,11/28/17 10:30:00 PM,23.869
71,11/28/17 11:00:00 PM,23.966
72,11/28/17 11:30:00 PM,23.966
73,11/29/17 12:00:00 AM,23.966
74,11/29/17 12:30:00 AM,23.966
75,11/29/17 01:00:00 AM,23.966
76,11/29/17 01:30:00 AM,23.966
77,11/29/17 02:00:00 AM,23.966
78,11/29/17 02:30:00 AM,23.966
79,11/29/17 03:00:00 AM,23.966
80,11/29/17 03:30:00 AM,23.966
81,11/29/17 04:00:00 AM,23.966
82,11/29/17 04:30:00 AM,23.966
83,11/29/17 05:00:00 AM,23.966
84,11/29/17 05:30:00 AM,23.966
85,11/29/17 06:00:00 AM,23.966
86,11/29/17 06:30:00 AM,23.966
87,11/29/17 07:00:00 AM,24.062
88,11/29/17 07:30:00 AM,24.062
