Fish,Mass (g),Lactate,Temperature ©
T5_1,46,86.0455670816044,24
T5_2,53,79.8422614107884,24
T5_3,46,100.786085753804,24
T5_4,63,94.509550484094,24
T7_1,37,84.0974481327801,24
T7_2,37,70.6128630705394,24
T9_1,54,88.7382295988935,24
T9_2,45,79.6023928077455,24
T9_3,35,68.8882503457815,24
T9_4,43,79.9102904564315,24
T6_1,46,85.0213416320885,27
T6_3,43,92.7954910096819,27
T6_4,37,53.205767,27
T6_5,51,61.7440663900415,27
T11_1,35,63.927634,27
T11_2,39,47.4649308437068,27
T11_3,29,95.0256639004149,27
T11_5,39,82.4209612724758,27
T2_1,57,87.5509128630706,30
T2_2,70,107.931473029046,30
T2_3,80,87.7596403872753,30
T8_1,95,88.0449723374827,30
T8_2,40,98.7290456431535,30
T8_3,52,101.442434301521,30
T8_4,69,81.283561549101,30
T10_1,55,78.2705186721992,30
T10_2,51,88.8898132780083,30
T1_1,35,93.2077731673582,33
T1_2,36,74.4047302904564,33
T1_3,50,83.2291286307054,33
T1_4,40,79.1393153526971,33
T1_5,40,72.3703181189488,33
T3_1,37,84.6466597510374,33
T3_2,40,103.220165975104,33
T3_3,37,95.8298340248962,33
T12_1,53,91.5821715076072,33
T12_2,47,109.865940525588,33
